timestamp,location_id,road_name,road_type,lanes,free_flow_speed,traffic_volume,average_speed,road_occupancy,weather,temperature,rainfall,incident,construction,congestion_level
2026-06-01 00:00,SEG_01,AB Road Central (Palasia to Geeta Bhawan),Arterial,3,50,297,49.5,9.6,Clear,20.1,0.0,0,0,0
2026-06-01 00:00,SEG_02,Eastern Bypass Corridor (Rau to Kanadia),Highway,4,80,1116,72.2,18.4,Clear,20.1,0.0,0,0,0
2026-06-01 00:00,SEG_03,Ring Road Section 3 (Robot Square to Radisson),Arterial,3,55,233,54.2,4.6,Clear,20.1,0.0,0,0,0
2026-06-01 00:00,SEG_04,Super Corridor West (Airport to MR10),Expressway,4,85,666,54.4,22.0,Clear,20.1,0.0,1,0,1
2026-06-01 00:00,SEG_05,Bhawarkua Arterial (University to Tower Square),Collector,2,45,168,43.2,6.0,Clear,20.1,0.0,0,0,0
2026-06-01 00:00,SEG_06,MR-10 Expressway Link (Tigaria to Vijay Nagar),Expressway,3,70,341,69.6,8.3,Clear,20.1,0.0,0,0,0
2026-06-01 00:00,SEG_07,Annapurna Road Corridor (Ranjeet Hanuman to Mhow),Collector,2,40,199,38.7,12.2,Clear,20.1,0.0,0,0,0
2026-06-01 00:00,SEG_08,Vijay Nagar Central Junction (Brilliant to Scheme 54),Arterial,3,50,403,48.9,7.4,Clear,20.1,0.0,0,0,0
2026-06-01 02:00,SEG_01,AB Road Central (Palasia to Geeta Bhawan),Arterial,3,50,259,48.1,8.1,Clear,22.0,0.0,0,0,0
2026-06-01 02:00,SEG_02,Eastern Bypass Corridor (Rau to Kanadia),Highway,4,80,1202,71.5,22.5,Clear,22.0,0.0,0,0,0
2026-06-01 02:00,SEG_03,Ring Road Section 3 (Robot Square to Radisson),Arterial,3,55,370,53.8,7.9,Clear,22.0,0.0,0,0,0
2026-06-01 02:00,SEG_04,Super Corridor West (Airport to MR10),Expressway,4,85,674,82.5,10.4,Clear,22.0,0.0,0,0,0
2026-06-01 02:00,SEG_05,Bhawarkua Arterial (University to Tower Square),Collector,2,45,244,41.1,12.2,Clear,22.0,0.0,0,0,0
2026-06-01 02:00,SEG_06,MR-10 Expressway Link (Tigaria to Vijay Nagar),Expressway,3,70,347,69.8,5.8,Clear,22.0,0.0,0,0,0
2026-06-01 02:00,SEG_07,Annapurna Road Corridor (Ranjeet Hanuman to Mhow),Collector,2,40,194,38.4,8.8,Clear,22.0,0.0,0,0,0
2026-06-01 02:00,SEG_08,Vijay Nagar Central Junction (Brilliant to Scheme 54),Arterial,3,50,308,49.1,10.2,Clear,22.0,0.0,0,0,0
2026-06-01 04:00,SEG_01,AB Road Central (Palasia to Geeta Bhawan),Arterial,3,50,459,45.8,11.2,Clear,23.9,0.0,0,0,0
2026-06-01 04:00,SEG_02,Eastern Bypass Corridor (Rau to Kanadia),Highway,4,80,1382,68.8,22.7,Clear,23.9,0.0,0,0,0
2026-06-01 04:00,SEG_03,Ring Road Section 3 (Robot Square to Radisson),Arterial,3,55,433,53.8,8.5,Clear,23.9,0.0,0,0,0
2026-06-01 04:00,SEG_04,Super Corridor West (Airport to MR10),Expressway,4,85,778,80.6,12.2,Clear,23.9,0.0,0,0,0
2026-06-01 04:00,SEG_05,Bhawarkua Arterial (University to Tower Square),Collector,2,45,150,45,8.6,Clear,23.9,0.0,0,0,0
2026-06-01 04:00,SEG_06,MR-10 Expressway Link (Tigaria to Vijay Nagar),Expressway,3,70,363,69.9,9.4,Clear,23.9,0.0,0,0,0
